image_path,caption,likes,engagement_label
data/images/sample_001.jpg,"Stop scrolling: this 5-minute desk reset changed my whole afternoon.",1840,High
data/images/sample_002.jpg,"Before and after: the tiny lighting trick that makes product photos pop.",2165,High
data/images/sample_003.jpg,"You will want to save this simple meal-prep formula for busy weeks.",1984,High
data/images/sample_004.jpg,"What nobody tells you about making your workspace feel calm and focused.",1728,High
data/images/sample_005.jpg,"Comment your favorite color combo and I will build a palette around it.",2310,High
data/images/sample_006.jpg,"This one camera angle made the whole outfit look more expensive.",1542,High
data/images/sample_007.jpg,"The 3-step morning routine that helped me stop feeling rushed.",1895,High
data/images/sample_008.jpg,"Guess which version got twice the clicks: A or B?",2050,High
data/images/sample_009.jpg,"I tried the viral editing trick so you do not have to.",1674,High
data/images/sample_010.jpg,"Save this checklist before your next launch day.",2488,High
data/images/sample_011.jpg,"A tiny apartment corner turned into a cozy reading spot.",1432,High
data/images/sample_012.jpg,"The fastest way to make a flat lay look balanced.",1758,High
data/images/sample_013.jpg,"Tell me which headline wins: bold, calm, or playful?",1921,High
data/images/sample_014.jpg,"This mistake was quietly hurting my food photos for months.",1816,High
data/images/sample_015.jpg,"Five visual hooks I would steal for my next campaign.",2224,High
data/images/sample_016.jpg,"A simple lunch idea with ingredients I already had at home.",812,Medium
data/images/sample_017.jpg,"Trying a cleaner desk setup for the week and tracking how it feels.",734,Medium
data/images/sample_018.jpg,"New pastel palette for spring content planning.",925,Medium
data/images/sample_019.jpg,"A quick look at today's sketchbook page and color notes.",648,Medium
data/images/sample_020.jpg,"Testing a different caption style for this product photo.",705,Medium
data/images/sample_021.jpg,"Weekend coffee, soft light, and a slower start.",884,Medium
data/images/sample_022.jpg,"Behind the scenes from a small home studio shoot.",963,Medium
data/images/sample_023.jpg,"Three ways I organized my editing queue this afternoon.",790,Medium
data/images/sample_024.jpg,"Sharing the final mockup from yesterday's design sprint.",870,Medium
data/images/sample_025.jpg,"A small reminder to drink water and take a screen break.",618,Medium
data/images/sample_026.jpg,"Trying a new background texture for lifestyle shots.",702,Medium
data/images/sample_027.jpg,"Today's outfit details with a neutral color palette.",845,Medium
data/images/sample_028.jpg,"A practical template for planning next week's content.",936,Medium
data/images/sample_029.jpg,"Quiet studio notes from a rainy afternoon.",580,Medium
data/images/sample_030.jpg,"A clean product angle with a softer shadow.",762,Medium
data/images/sample_031.jpg,"Photo from today.",120,Low
data/images/sample_032.jpg,"Random update.",96,Low
data/images/sample_033.jpg,"Another picture of the desk.",154,Low
data/images/sample_034.jpg,"Testing upload.",88,Low
data/images/sample_035.jpg,"Here is the thing I made.",173,Low
data/images/sample_036.jpg,"Some colors and shapes.",141,Low
data/images/sample_037.jpg,"A normal Tuesday post.",109,Low
data/images/sample_038.jpg,"New image.",72,Low
data/images/sample_039.jpg,"Just sharing this.",131,Low
data/images/sample_040.jpg,"Work in progress.",164,Low
data/images/sample_041.jpg,"Today's photo dump.",202,Low
data/images/sample_042.jpg,"Nothing special here.",84,Low
data/images/sample_043.jpg,"Late post from last week.",117,Low
data/images/sample_044.jpg,"Basic setup.",138,Low
data/images/sample_045.jpg,"Another caption for the feed.",151,Low
